20010313,5509.79,5646.86,5498.56,5610.4
20010320,5693.05,5717.21,5624.3,5642.7
20010327,5943.91,5981.31,5871.11,5884.33
20010403,5521.99,5538.09,5439.4,5446.82
20010411,5470.67,5474.17,5362.43,5467.75
20010418,5479.47,5523.72,5472.79,5508.61
20010425,5594.19,5601.35,5500.97,5516.2
20010503,5287.72,5405.54,5264.96,5405.54
20010510,5215.55,5215.55,5117.14,5122.17
20010517,5112.23,5175.53,5090.86,5143.44
20010524,5193.87,5246.79,5172.05,5226.79
20010531,5014.93,5094.56,5012.28,5048.86
20010607,5172.69,5177.47,5126.3,5153.35
20010614,5179.4,5200.5,5091.52,5119.19
20010621,5044.2,5066.17,4965.86,4984.88
20010629,4854.6,4898.99,4843.55,4883.43
20010706,4670.27,4766.27,4663.82,4707.01
20010713,4715.33,4715.33,4483.09,4485.68
20010720,4197.42,4270.19,4154.9,4220.33
20010727,4341.49,4417.62,4289.37,4320.59
20010806,4507.84,4527.75,4451.04,4470.73
20010813,4492.28,4557.85,4470.17,4520.76
20010820,4520.12,4595.75,4520.12,4550.36
20010827,4352.34,4407.82,4333.2,4384.55
20010903,4520,4526.27,4446.27,4454.77
20010910,4254.48,4305.74,4214.94,4289.1
20010920,3693.91,3725.91,3693.11,3698.84
20010927,3586.81,3602.18,3546.27,3567.63
20011005,3502.37,3585.64,3467.94,3585.46
20011015,3724.66,3756.4,3706.15,3712.82
20011022,3866.7,3924.3,3861.71,3900.62
20011029,4081.94,4084.89,4033.98,4065.1
20011105,4014.74,4080.51,3984.68,4080.51
20011112,4126,4178.83,4090.96,4172.63
20011119,4459.39,4556.54,4436.9,4548.63
20011126,4560.56,4622.33,4560.56,4608.32
20011203,4534.37,4647.71,4532.19,4646.61
20011210,5345.51,5435.48,5304.99,5321.28
20011217,5502.04,5535.75,5413.97,5456.15
20011224,5132.61,5208,5100.52,5164.73
20011231,5481.07,5583.82,5477.53,5551.24
20020108,5843.68,5885.6,5753.62,5810.08
20020115,5582.65,5628.65,5494.04,5592.74
20020122,5863.58,5880.83,5731.7,5804.1
20020129,6008.22,6008.22,5841.44,5846.19
20020205,5812.7,5849.02,5773.07,5844.25
20020221,5766.4,5769.59,5640.15,5656.1
20020301,5672.03,5736.22,5645.8,5680.78
20020308,6077.7,6125.46,5971.91,6011.65
20020315,6062.13,6112.64,5939.46,5951.45
20020322,6149.16,6203.21,6127.04,6140.42
20020329,6265.02,6265.02,6154.56,6167.47
20020408,6204.57,6246.32,6176.79,6190.83
20020415,6226.57,6261.78,6179.61,6196
20020422,6470.45,6484.93,6424.78,6462.3
20020429,6244.26,6258.18,6175.71,6205.09
20020507,5525.3,5700.69,5525.3,5663.98
20020514,5801.54,5822.66,5729.43,5755.92
20020521,5497.98,5540.49,5429.01,5443.18
20020528,5765.56,5796.73,5652.59,5669.53
20020604,5443.87,5535.62,5443.87,5527.8
20020611,5536.87,5540.56,5391.75,5405.42
20020618,5625.15,5625.15,5516.54,5536.42
20020625,5419.93,5432.38,5299.19,5316.04
20020702,4881.12,5005.25,4881.12,4995.08
20020709,5352.71,5388.52,5310.73,5388.52
20020716,5441.97,5460.09,5311.32,5318.01
20020723,5016.14,5159.23,4979.85,5159.23
20020730,4971.98,5019.82,4937.11,5005.04
20020806,4506.6,4629.93,4506.6,4572.35
20020813,4845,4847.31,4804.92,4817.93
